127.0.0.1 - - [25/Jun/2020:18:18:43 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Jun/2020:18:18:48 +0530] "GET /JavaWebApp/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [25/Jun/2020:18:21:41 +0530] "GET /JavaWebApp/ HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [25/Jun/2020:18:21:41 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Jun/2020:20:41:18 +0530] "GET /JavaWebApp/ HTTP/1.1" 200 2915
0:0:0:0:0:0:0:1 - - [25/Jun/2020:20:43:29 +0530] "GET /JavaWebApp/ HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [25/Jun/2020:20:46:44 +0530] "GET /JavaWebApp/ HTTP/1.1" 200 2416
0:0:0:0:0:0:0:1 - - [25/Jun/2020:20:46:44 +0530] "GET /JavaWebApp/css/style.css HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [25/Jun/2020:20:49:57 +0530] "GET /JavaWebApp/ HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [25/Jun/2020:20:49:58 +0530] "GET /JavaWebApp/css/style.css HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [25/Jun/2020:20:50:35 +0530] "GET /JavaWebApp/ HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [25/Jun/2020:20:50:35 +0530] "GET /JavaWebApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2020:20:50:54 +0530] "GET /JavaWebApp/ HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [25/Jun/2020:20:50:54 +0530] "GET /JavaWebApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2020:20:51:23 +0530] "GET /JavaWebApp/ HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [25/Jun/2020:20:51:23 +0530] "GET /JavaWebApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2020:20:57:05 +0530] "GET /JavaWebApp/ HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [25/Jun/2020:20:57:05 +0530] "GET /JavaWebApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2020:20:57:28 +0530] "GET /JavaWebApp/ HTTP/1.1" 200 1403
0:0:0:0:0:0:0:1 - - [25/Jun/2020:20:59:31 +0530] "GET /JavaWebApp/ HTTP/1.1" 200 2393
